FishID,Weight (g),Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm)
fish01,67.49,20.85535777678748,3.7158033671211497,11.931571393239391,47.6539780373397,44.05989299471351
fish10,17.7,20.03369208292565,4.429250536466586,27.33457591415369,59.38618500906286,44.454198380363295
fish11,13.0,26.712832980685764,3.2189774568230707,23.54837742915693,39.97305564714072,54.5690196248705
fish12,15.28,18.82326492608762,1.4285896345815914,4.83303593156942,18.775763943257463,39.32895804887551
fish13,13.88,31.64052726083561,6.045454545454546,18.331029079879297,115.71293214102764,69.47807617204002
fish14,12.32,19.017783434629912,2.350818854925663,16.637735096140688,20.337837768969422,39.459281098446695
fish15,9.61,20.03411102294922,1.539608319600423,4.735682628080033,24.232020318128296,41.30574865890174
fish2,16.0,24.507826963931752,3.0835266329611866,8.09598412621089,55.42487610725826,50.868772828506465
fish3,81.9,19.61872170959159,9.463598651380124,5.321205313449095,121.63983406847302,46.21510762442078
fish4,61.25,25.137370908743083,3.0295165191822497,20.07796150283848,44.197842188712144,51.28388838947673
fish5,27.36,23.73714980006111,2.791673401542827,7.229735224696694,44.720999405116004,48.419691217631595
fish6,13.78,23.690363062605925,1.677134166124595,26.21188224212923,11.728508545015778,37.57079970846308
fish7,18.32,26.63888888888889,6.836442522606194,18.46180450750867,173.0743730792383,64.4947596668969
fish8,12.7,26.33720038605353,3.178491690473469,11.298098902288023,42.79077540106952,54.120736845688896
fish9,14.0,25.881115383572048,2.924989492271602,22.150666757168196,38.79633265343175,52.48028476684716
